channel,video_id,title,url,reason,source
exurb1a,3IT_rnV1LBw,Red Dead No Redemption,https://www.youtube.com/watch?v=3IT_rnV1LBw,yt-dlp skipped in this run,curated fallback manifest
exurb1a,VztEcSYXQr0,the existence forecast,https://www.youtube.com/watch?v=VztEcSYXQr0,yt-dlp skipped in this run,curated fallback manifest
exurb1a,o1OsDWT_DUc,Then Next Comes,https://www.youtube.com/watch?v=o1OsDWT_DUc,yt-dlp skipped in this run,curated fallback manifest
sxrawn,wKiT-kvNn0M,at the end of evolution,https://www.youtube.com/watch?v=wKiT-kvNn0M,yt-dlp skipped in this run,curated fallback manifest
sxrawn,h8DZcb5suFM,How Peanut Butter helped us beat the Neanderthals.,https://www.youtube.com/watch?v=h8DZcb5suFM,yt-dlp skipped in this run,curated fallback manifest
sxrawn,6cTAfthUFv4,how to be religious,https://www.youtube.com/watch?v=6cTAfthUFv4,yt-dlp skipped in this run,curated fallback manifest
sxrawn,251tqtR4nUA,How to Live Forever,https://www.youtube.com/watch?v=251tqtR4nUA,yt-dlp skipped in this run,curated fallback manifest
sxrawn,-ecp_4pKVrA,humans are all that matter in the universe (no really),https://www.youtube.com/watch?v=-ecp_4pKVrA,yt-dlp skipped in this run,curated fallback manifest
sxrawn,BZx2SmHveOE,humans beat death in a fist fight,https://www.youtube.com/watch?v=BZx2SmHveOE,yt-dlp skipped in this run,curated fallback manifest
sxrawn,UzO60u2BHEY,If Everybody Shot a Bullet...,https://www.youtube.com/watch?v=UzO60u2BHEY,yt-dlp skipped in this run,curated fallback manifest
sxrawn,kkWwK5h3_PY,light is a wave and a particle. How?,https://www.youtube.com/watch?v=kkWwK5h3_PY,yt-dlp skipped in this run,curated fallback manifest
sxrawn,SkcWeflr7mc,The Chair Hypothesis,https://www.youtube.com/watch?v=SkcWeflr7mc,yt-dlp skipped in this run,curated fallback manifest
sxrawn,M4rpGxmXgew,The Inconvenient Charity Awards Show,https://www.youtube.com/watch?v=M4rpGxmXgew,yt-dlp skipped in this run,curated fallback manifest
sxrawn,LHY6QUw8Ofw,The Last Man Standing in the Universe,https://www.youtube.com/watch?v=LHY6QUw8Ofw,yt-dlp skipped in this run,curated fallback manifest
sxrawn,4vA2IulZ0Nw,the mola mola or sunfish is a disappointment.....,https://www.youtube.com/watch?v=4vA2IulZ0Nw,yt-dlp skipped in this run,curated fallback manifest
sxrawn,n4C5W0hLhtc,the timeline of the universe explained in increasing complexity ep 1,https://www.youtube.com/watch?v=n4C5W0hLhtc,yt-dlp skipped in this run,curated fallback manifest
sxrawn,LnGa65Xe-nE,There is Nobody Inside Your Head.,https://www.youtube.com/watch?v=LnGa65Xe-nE,yt-dlp skipped in this run,curated fallback manifest
sxrawn,U3I7xVQovis,Wasting Your Life: A 427-Second Guide,https://www.youtube.com/watch?v=U3I7xVQovis,yt-dlp skipped in this run,curated fallback manifest
sxrawn,audBYfnjxxo,Which Animal Should You Reincarnate As?,https://www.youtube.com/watch?v=audBYfnjxxo,yt-dlp skipped in this run,curated fallback manifest
sxrawn,ZHE7iaLOMd0,who are You?,https://www.youtube.com/watch?v=ZHE7iaLOMd0,yt-dlp skipped in this run,curated fallback manifest
sxrawn,aDP3tTY7ERk,why is life shit now?,https://www.youtube.com/watch?v=aDP3tTY7ERk,yt-dlp skipped in this run,curated fallback manifest
sxrawn,ILDBj4aOQ1w,will AI ever be conscious?,https://www.youtube.com/watch?v=ILDBj4aOQ1w,yt-dlp skipped in this run,curated fallback manifest
